major_abbr,pathway,College,iqr_min,q1,median,q3,iqr_max
CHEM  ,0,College of Arts and Sciences,2.032,2.747619,3.116666,3.486206,4.0
B EDSD,10,Educational Studies,3.775,3.9,3.9775,4.0,4.0
IND E ,0,College of Engineering,2.784615,3.172222,3.3166659999999997,3.466666,3.86923
DRAMA ,60,College of Arts and Sciences,2.572727,3.23,3.475,3.69,3.9375
MUSAP ,40,College of Arts and Sciences,3.410204,3.607843,3.773214,3.882142,3.928571
T INFO,0,Institute of Technology,2.15,2.875,3.15,3.457142,3.9625
DANISH,0,College of Arts and Sciences,3.235483,3.235483,3.4177415,3.6,3.6
TPPE  ,30,Interdisciplinary Arts and Sciences,2.716666,2.813333,2.863809,3.266666,3.266666
BIOL  ,5,College of Arts and Sciences,2.255172,2.85,3.033333,3.271428,3.711111
DESIGN,25,College of Arts and Sciences,2.911538,3.2125,3.375,3.54375,3.88125
FINN  ,0,College of Arts and Sciences,3.628125,3.628125,3.783333,3.788,3.788
ESS   ,10,College of the Environment,2.191666,2.5625,2.9279159999999997,3.173913,3.57
T HIST,20,Interdisciplinary Arts and Sciences,2.766666,3.3,3.6166665,3.816666,4.0
SPHSC ,0,College of Arts and Sciences,2.41875,3.021052,3.2,3.443902,3.808333
ESRM  ,40,College of the Environment,2.142857,3.0,3.3375,3.6,3.9
BIOEN ,0,School of Medicine,3.3,3.63,3.75,3.85,4.0
ACMS  ,50,College of Arts and Sciences,3.653333,3.67,3.693333,3.769565,3.780952
HRMGT ,0,Foster Business School,2.708,3.19375,3.333333,3.523809,3.916666
B NURS,0,Nursing and Health Studies,2.0,2.890909,3.3089285,3.632,4.0
T HIST,30,Interdisciplinary Arts and Sciences,3.78,3.78,3.780909,3.814285,3.814285
HUM E ,0,College of Arts and Sciences,2.2,2.863636,3.157142,3.75,4.0
TENSCI,10,Interdisciplinary Arts and Sciences,2.772727,3.222222,3.55,3.729629,3.85
B CP  ,0,Interdisciplinary Arts and Sciences,2.15,2.994117,3.267929,3.566666,4.0
CSSE  ,80,Science Technology Engineering and Mathematics,2.633333,3.083333,3.495,3.633333,3.75
C LIT ,30,College of Arts and Sciences,2.375,3.02,3.383333,3.623809,4.0
SPHSC ,1,College of Arts and Sciences,2.757142,3.263636,3.513333,3.68421,3.994444
B CLA ,0,Interdisciplinary Arts and Sciences,2.444444,2.947368,3.435,3.6625,3.90909
LATIN ,0,College of Arts and Sciences,2.568181,3.02,3.4479165,3.633333,3.674468
D HYG ,0,School of Dentistry,3.4,3.4,3.4,3.4,3.4
B HLTH,0,Nursing and Health Studies,2.4,3.072222,3.321052,3.6,4.0
ACMS  ,10,College of Arts and Sciences,3.2125,3.466666,3.5869745,3.69,4.0
NEAR E,20,College of Arts and Sciences,2.408333,3.078787,3.366666,3.6,4.0
DRAMA ,70,College of Arts and Sciences,2.735294,3.105263,3.2706340000000003,3.466666,3.825
INFO  ,10,The Information School,3.0,3.290625,3.4452985,3.5375,3.817857
TCES  ,0,Institute of Technology,2.35,3.06,3.4875,3.703703,4.0
DANCE ,10,College of Arts and Sciences,3.513636,3.513636,3.619318,4.0,4.0
SIS   ,0,College of Arts and Sciences,2.779411,3.3,3.508333,3.683333,4.0
ENTRE ,0,Foster Business School,2.779166,3.225,3.455555,3.616666,4.0
CSS   ,30,Science Technology Engineering and Mathematics,3.005882,3.005882,3.005882,3.005882,3.005882
NURS  ,0,School of Nursing,2.961904,3.427272,3.618518,3.791304,4.0
TSS   ,0,Interdisciplinary Arts and Sciences,2.326315,2.672727,3.1424235,3.414285,3.8
OSCM  ,0,Foster Business School,2.683333,3.217647,3.4,3.584615,3.916666
STAT  ,0,College of Arts and Sciences,2.271428,3.068181,3.42,3.686956,4.0
COM   ,0,College of Arts and Sciences,2.345454,3.004545,3.221428,3.444444,4.0
AFS   ,0,College of the Environment,2.2,2.675,3.206699,3.5,4.0
